,q1,q2,q3,q4,q6,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,q18c,q18d,q18e,q19,q20,q21,q31,q32,q33,q34,q35,q36,q37,q38,q39,q42,q42,marital,race1_1,race1_2,race1_3,race1_4,hh1,hh2,hh30,income,finan,home,age,health,state,sex,kidsa,employ,employ2,employ3,educ,schl
0,1,2,2,1,1,29,0,0,0,0,IN TERMS OF TECHNOLOGY,1,2,2,2,2,2,4,2,2,1,3,3,3,2,0,2,2,1,0,0,0,3,2,2,4,2,2,6,9,0,0,0,3,0,0,6,2,0,28,1,NY,1,2,1,0,2,5,3
1,1,1,1,1,1,24,0,0,0,0,"we dont usually trust people very easily, and we're untrusting of religions and government, we dont trust something until we finf out for ourselves",2,4,1,1,2,2,4,1,1,1,2,3,1,1,2,2,2,1,0,0,0,1,1,1,4,1,1,1,1,0,0,0,4,2,0,6,2,1,33,1,NE,2,1,2,0,2,5,5
2,2,2,1,2,2,0,0,0,0,0,,2,3,1,3,1,3,4,3,2,1,3,3,3,1,2,2,0,0,0,1,0,2,0,0,0,2,2,1,1,0,0,0,2,0,0,6,0,1,45,1,IN,2,2,3,3,0,6,5
3,1,2,1,2,1,1,0,0,0,0,values a little better,2,2,2,2,2,3,4,2,2,1,2,1,1,2,0,2,3,2,2,0,0,2,1,3,3,1,1,1,1,0,0,0,2,0,0,10,0,1,66,1,IN,2,2,2,0,2,2,0
4,1,2,1,2,2,0,0,0,0,0,,2,1,2,2,1,3,4,2,2,1,1,1,3,1,3,1,1,1,0,0,0,1,1,3,2,2,2,1,3,0,0,0,2,0,0,9,0,1,52,1,VA,2,2,1,0,2,6,5
5,1,2,1,1,2,0,0,0,0,0,,2,3,1,1,2,3,4,9,2,1,2,2,3,1,2,2,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,2,0,0,10,0,9,99,1,MD,2,2,3,2,0,5,0
6,2,2,2,2,1,1,0,0,0,0,values are a little stronger than they are today,1,4,1,1,1,1,4,1,1,1,2,1,3,2,0,2,0,0,0,2,2,1,0,0,0,1,1,4,2,0,0,0,1,0,0,2,0,1,60,1,PA,1,2,3,2,0,5,5
7,3,2,2,2,1,2,0,0,0,0,"e were raised to work, the work ethic --- today pweople get welfare, the more children yopu have the more help{ you get the welfare; young people tof-day have no workethics, none.",1,2,2,2,1,2,4,2,2,2,1,1,2,0,0,0,1,2,2,0,0,2,1,4,1,2,2,3,1,0,0,0,1,0,0,3,0,1,54,1,NC,2,2,1,0,2,3,5
8,2,2,1,2,1,1,0,0,0,0,I THINK WE HAVE BETTER VALUES AND MORALS,2,3,1,1,1,2,4,2,2,1,3,2,3,1,4,2,0,0,0,2,1,1,0,0,0,2,2,1,1,0,0,0,7,5,0,7,0,1,48,1,FL,2,1,3,3,0,5,5
9,2,1,2,1,2,0,0,0,0,0,,1,3,2,2,1,2,4,1,3,1,3,3,3,1,4,2,1,2,1,0,0,2,2,3,2,2,2,4,1,0,0,0,2,1,0,4,0,1,48,1,MO,2,1,1,0,2,6,5
10,2,1,1,1,1,20,25,0,0,0,child of  sixties  chalenge authority,2,4,1,1,1,2,4,2,2,1,2,3,1,2,0,2,0,0,0,1,0,1,0,0,0,2,2,1,1,0,0,0,2,0,0,6,0,1,63,1,SD,1,2,3,2,0,7,5
11,2,1,1,1,2,0,0,0,0,0,,2,3,2,3,2,2,4,3,2,1,3,3,3,1,5,2,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,4,2,0,9,0,1,44,1,MA,1,1,3,3,0,7,5
12,2,2,1,2,1,36,0,0,0,0,the younger generation has more killimgs and robberies,2,3,2,2,1,2,4,2,1,2,2,2,2,0,0,0,0,0,0,1,0,2,0,0,0,2,2,5,1,0,0,0,1,0,0,2,0,2,83,1,TN,1,2,3,2,0,2,0
13,1,9,1,1,1,2,3,14,0,0,"trust worthy, work eithics, evironmentally friendly",2,2,2,2,2,3,4,2,2,1,1,9,1,1,4,2,1,1,0,0,0,1,1,3,1,1,1,1,1,0,0,0,3,0,0,10,0,1,53,1,VA,1,2,1,0,2,7,5
14,3,2,9,2,9,0,0,0,0,0,,2,4,1,1,9,9,4,2,9,2,2,2,9,0,0,0,0,0,0,2,2,1,0,0,0,9,9,1,1,0,0,0,3,0,0,10,0,1,83,1,MI,2,2,3,5,0,5,0
15,2,1,1,2,2,0,0,0,0,0,,2,3,2,3,1,4,4,3,4,1,3,3,3,2,0,2,3,1,0,0,0,2,1,2,4,2,2,1,1,0,0,0,3,0,0,8,0,1,48,1,IA,2,2,2,0,2,5,5
16,1,2,1,2,1,2,0,0,0,0,work ethic higher expectations,2,4,2,2,2,3,4,2,2,1,2,3,2,2,0,2,1,2,1,0,0,1,1,3,1,1,1,1,1,0,0,0,2,0,0,7,0,1,54,1,SC,2,2,2,0,2,3,5
17,1,2,1,1,1,9,0,0,0,0,WERE  MORE  CONSERVATIVE,2,3,2,2,1,2,3,2,2,2,2,2,3,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,1,0,0,0,2,0,0,2,0,1,78,1,TX,2,2,3,2,0,3,0
18,2,2,1,2,1,4,5,0,0,0,"we are reso{pectal, caring, and giving ; the present generation  they always want to get instead o=f give.",1,2,1,1,1,1,1,1,1,1,3,3,3,1,3,2,3,2,1,0,0,1,2,1,4,2,2,1,2,0,0,0,5,2,0,5,0,2,51,1,IL,1,1,2,0,3,3,5
