Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,1,Working fulltime,55,Not applicable,Not applicable,Someone else,Accountants and auditors,"Security, commodity brokerage, and investment companies",Accountants and auditors,0,31,16,Bachelor,Male,Other,No,1,1,$25000 or more,$25000 or more,$75000 to $89999,$75000 to $89999,Too little,Pretty happy,Not applicable,Not applicable,3rd important,52,Full-time,More or less,Average,Yes,Not applicable,Somewhat worse,"Regular, permanent employee",3,Day shift,12,About once a month,Worker has to work at home to keep up with job,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very true,Dont know,About as much as you deserve,Yes,Good,1,3,2,Often,No,Rarely,Somewhat satisfied,Private company,Often,Not applicable,Not applicable,A u.s. citizen,Own or is buying,1st person,76.4,1979,Ballot b,132011.01,76.3
2010,2,Working fulltime,45,Not applicable,Not applicable,Someone else,"Administrators, education and related fields",Elementary and secondary schools,"Business operations specialists, all other",0,23,16,Bachelor,Female,White,Yes,1,1,$15000 - 19999,$7000 to 7999,$15000 to 17499,$7 000 to 7 999,Not applicable,Not too happy,Not applicable,Not applicable,3rd important,16,Full-time,More or less,Above average,Yes,Not applicable,About the same,"Regular, permanent employee",6-11.9 months,Day shift,6,About once a week,Worker has to work at home to keep up with job,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Somewhat true,Not at all true,Much less than you deserve,No,Good,3,6,8,Sometimes,No,Often,Not too satisfied,Government or government agency,Often,Not applicable,Not applicable,Not applicable,Pays rent,1st person,85.1,1987,Ballot b,No answer,63.7
2010,3,Retired,Not applicable,Not applicable,Yes,Someone else,Bus drivers,Bus service and urban transit,Bus drivers,3,71,8,Lt high school,Female,Black,No,1,0,$20000 - 24999,Not applicable,$20000 to 22499,Not applicable,Not applicable,Not too happy,Fair,Don't know,Not applicable,0,Not applicable,Not at all sat,Below average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,A u.s. citizen,Own or is buying,1st person,29.8,1939,Ballot a,533022,31.6
2010,4,Retired,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,5,82,10,Lt high school,Female,White,No,1,1,$8000 to 9999,Not applicable,$8 000 to 9 999,Not applicable,About right,Not too happy,Not applicable,Not applicable,2nd important,0,Not applicable,Satisfied,Average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,A u.s. citizen,Pays rent,1st person,-1,1928,Ballot b,No answer,-1
2010,5,Retired,Not applicable,Not applicable,Yes,Someone else,"Brickmasons and stonemasons, except apprentices",Construction,"Brickmasons, blockmasons, and stonemasons",Eight or more,78,0,Lt high school,Female,Black,No,2,2,Don't know,Not applicable,Don't know,Not applicable,Not applicable,Very happy,Poor,Dull,3rd important,0,Not applicable,Not at all sat,Average,No,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,A u.s. citizen,Not applicable,1st person,29.4,1932,Ballot c,472051,24.6
2010,6,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Welders and cutters,Miscellaneous repair services,"Welding, soldering, and brazing workers",2,40,6,Lt high school,Male,Black,No,1,1,$10000 - 14999,$10000 - 14999,$10000 to 12499,$10000 to 12499,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,6,Part-time,More or less,Average,Yes,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,A u.s. citizen,Pays rent,1st person,32.3,1970,Ballot b,514121.06,28.4
2010,7,Working fulltime,45,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.",Construction,Financial managers,1,46,16,Junior college,Female,Black,No,1,1,$25000 or more,$25000 or more,$75000 to $89999,$75000 to $89999,Too little,Pretty happy,Good,Routine,2nd important,52,Full-time,More or less,Above average,Yes,Both equally,Somewhat worse,"Regular, permanent employee",10,Day shift,0,Never,Not applicable,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Good,0,0,0,Often,No,Never,Somewhat satisfied,Private company,Often,Yes,Associate's,Not a u.s. citizen,Not applicable,1st person,63.5,1964,Ballot c,119021,69.3
2010,8,Retired,Not applicable,Not applicable,Yes,Someone else,Registered nurses,Hospitals,"Nursing, psychiatric, and home health aides",1,80,15,Junior college,Female,Black,Yes,1,1,$20000 - 24999,Not applicable,$20000 to 22499,Not applicable,Not applicable,Pretty happy,Good,Routine,Not applicable,0,Not applicable,Not at all sat,Below average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,73.2,1930,Ballot a,291199.03,24.2
2010,9,Working fulltime,40,Not applicable,Not applicable,Someone else,No answer,"Health services, n.e.c.",Medical and health services managers,3,31,14,High school,Female,Black,No,7,4,Refused,Refused,Refused,Refused,Not applicable,Very happy,Excellent,Exciting,Most important,52,Full-time,Not at all sat,Average,No,Both equally,About the same,Dont know,3,Day shift,0,Never,Not applicable,No,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Sometimes,Yes,Rarely,Very satisfied,Private company,Sometimes,Yes,Not applicable,A u.s. citizen,Not applicable,3rd person,-1,1979,Ballot c,No answer,71.8
2010,10,Working fulltime,48,Not applicable,Not applicable,Someone else,Welfare service aides,"Residential care facilities, without nursing","Nursing, psychiatric, and home health aides",2,No answer,14,High school,Female,Black,No,3,3,Refused,Refused,Refused,Refused,Too little,Very happy,Excellent,Exciting,Not applicable,Don't know,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,99,Day shift,No answer,Never,Not applicable,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very true,Not at all true,Much less than you deserve,No,Very good,7,10,0,Very often,No,Often,Very satisfied,Government or government agency,Sometimes,Not applicable,Not applicable,Not a u.s. citizen,Pays rent,2nd person,31.2,No answer,Ballot a,311011,24.2
2010,11,Working parttime,26,Not applicable,Not applicable,Someone else,"Personal service occupations, n.e.c.",Eating and drinking places,"Hosts and hostesses, restaurant, lounge, and coffee shop",1,31,14,Junior college,Female,Black,Yes,6,3,$25000 or more,$20000 - 24999,$50000 to 59999,$22500 to 24999,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,26,Part-time,More or less,Average,Yes,Not applicable,Much better,"Regular, permanent employee",6-11.9 months,Day shift,5,Never,Not applicable,No,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Very true,Somewhat true,Much less than you deserve,No,Excellent,0,0,0,Sometimes,No,Rarely,Not too satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Pays rent,3rd person,34.4,1979,Ballot b,359031,22.4
2010,12,School,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,0,21,13,High school,Male,Other,Yes,5,2,$25000 or more,Not applicable,$40000 to 49999,Not applicable,Not applicable,Pretty happy,Good,Routine,Not applicable,Don't know,Not applicable,Not at all sat,Average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,5th person,-1,1989,Ballot a,No answer,-1
2010,13,Working fulltime,40,Not applicable,Not applicable,Someone else,Janitors and cleaners,"Real estate, including real estate-insurance-law offices",Janitors and building cleaners,2,58,12,High school,Male,Black,Yes,2,2,$25000 or more,$25000 or more,$90000 to $109999,$35000 to 39999,Not applicable,Pretty happy,Excellent,Exciting,Not applicable,52,Full-time,More or less,Average,Not applicable,Luck or help,Not applicable,"Regular, permanent employee",7,Day shift,10,Never,Not applicable,No,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Very good,0,0,0,Often,No,Sometimes,Somewhat satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,28.4,1952,Ballot a,499042,20.7
2010,14,Keeping house,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,3,36,13,High school,Female,Other,Yes,3,0,$20000 - 24999,Not applicable,$22500 to 24999,Not applicable,Too little,Pretty happy,Good,Exciting,Not applicable,0,Not applicable,More or less,Below average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Pays rent,1st person,-1,1974,Ballot a,No answer,-1
2010,15,Keeping house,Not applicable,Not applicable,Yes,Someone else,Janitors and cleaners,"Real estate, including real estate-insurance-law offices",Janitors and building cleaners,1,57,10,Lt high school,Female,White,Yes,2,1,$15000 - 19999,Not applicable,$15000 to 17499,Not applicable,Not applicable,Not too happy,Not applicable,Not applicable,Most important,0,Not applicable,Not at all sat,Below average,No,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,28.4,1953,Ballot b,372011,20.7
