Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,R preference re: work hrs and money,Rs job is secure,Rs income is high,R has opportunity to advance,Rs job is interesting,R can work independently,R helps others in job,Rs job is useful to society,How often does work exhaust r,Which job would you prefer               ,I am proud of the type of work i do,Have you ever had a paid job for 1 year or+,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010),Respondents income,Stress at work in past 2 wks,I see myself as successful,I am meeting my current goals,Use internet/apps more than occassionally,Use internet/apps from phone or tablet,Used internet/apps yesterday,Use twitter,Use facebook,Use instagrm,Use linkedin,Use snapchat,Use tumblr,Use whatsapp,Use googlesn,Use pinterst,Use flickr,Use vine,Use clssmtes,Minutes of internet use on weekdays,Hours of internet use on weekdays,Minutes of internet use on weekends,Hours of internet use on weekends,How are you paid,How many hrs/week do you usually work,Most hrs/week worked in past month,Fewest hrs/week worked in past month,How much time felt depressed in past wk,How much time sleep was restless in past wk,How much time felt happy in past wk,How much time felt lonely in past wk,How much time felt sad in past wk,Importance of flexible hrs. at work,Importance of personal contact at work,How often do you work from home,Do you work weekends,How are your working hours decided,What is your working schedule,I would change my work for something different,Did you work multiple jobs in past yr,How much earned from additional jobs in past yr,Job satisfaction,Type of structure in which the respondent lives
2016,8,Working parttime,30,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Personal care aides,3,23,11,High school,Female,Other,No,5,2,$25000 or more,$15000 - 19999,Not applicable,Not applicable,Not applicable,Very happy,Good,Routine,2nd important,40,Part-time,More or less,Far below average,Yes,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,More hrs & money,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Always,A part-time job,Strongly agree,Not applicable,Not a u.s. citizen,Not applicable,1st person,-1,1993,Ballot c,0,20.1,$15000 to 17499,Not applicable,Definitely true,Definitely true,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,2,0,3,By the hour,30,30,20,None or almost none of the time,Some of the time,All or almost all of the time,None or almost none of the time,Some of the time,Very important,Very important,Sometimes,Always,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)",Strongly agree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,11,Keeping house,Not applicable,Not applicable,Yes,Someone else,Not applicable,Not applicable,"Nursing, psychiatric, and home health aides",5,33,12,High school,Female,Black,Yes,4,0,Lt $1000,Not applicable,Not applicable,Not applicable,Too little,Don't know,Not applicable,Not applicable,Most important,0,Not applicable,Not at all sat,Below average,No,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,A part-time job,Not applicable,Yes,Not applicable,Pays rent,1st person,-1,1983,Ballot b,0,24.2,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Yes,"Yes, used internet yesterday",No,No,No,No,No,No,No,Yes,Yes,No,No,No,0,7,0,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very important,Very important,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DETACHED SINGLE FAMILY HOUSE
2016,16,Working fulltime,42,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Designers,2,33,13,High school,Female,White,Yes,4,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Pretty happy,Excellent,Exciting,3rd important,52,Full-time,Not at all sat,Below average,No,Hard work,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,Fewer and less,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Neither,Often,A full time job,Strongly agree,Not applicable,Not applicable,Not applicable,2nd person,-1,1983,Ballot c,0,61.4,$25000 to 29999,Not applicable,Slightly false,Mostly false,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,By the hour,43,50,38,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,Neither important nor unimportant,Important,Never,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Strongly disagree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS SIDE-BY-SIDE"
2016,19,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Elementary and middle school teachers,0,31,18,Graduate,Male,Black,Yes,1,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,3rd important,52,Full-time,More or less,Average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,Same and same,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Often,A full time job,Agree,Not applicable,Not applicable,Pays rent,1st person,-1,1985,Ballot b,0,80.9,$35000 to 39999,Not applicable,Not applicable,Not applicable,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,0,3,0,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Neither important nor unimportant,Neither important nor unimportant,Hardly ever,Sometimes,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Agree,No,Not applicable,Not applicable,"APARTMENT HOUSE (5 OR MORE UNITS, 4 STORIES OR MORE)"
2016,23,Working parttime,15,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Cashiers,2,23,10,Lt high school,Female,Other,No,4,1,$20000 - 24999,$4000 to 4999,Not applicable,Not applicable,Too little,Very happy,Not applicable,Not applicable,Most important,32,Part-time,More or less,Below average,Yes,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Never,Not applicable,Not applicable,More hrs & money,Neither,Disagree,Agree,Neither,Neither,Neither,Neither,Sometimes,A full time job,Not agree/dsagre,Not applicable,A u.s. citizen,Pays rent,1st person,-1,1993,Ballot b,0,21.6,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,3,0,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very important,Important,Never,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)",Strongly agree,No,Not applicable,Not applicable,"APARTMENT HOUSE (5 OR MORE UNITS, 3 STORIES OR LESS)"
2016,25,Working fulltime,50,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,"Packers and packagers, hand",2,25,15,Junior college,Female,White,No,3,1,$20000 - 24999,$15000 - 19999,Not applicable,Not applicable,Not applicable,Pretty happy,Fair,Exciting,2nd important,52,Full-time,More or less,Average,No,Hard work,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Always,Not applicable,Not applicable,More hrs & money,Agree,Neither,Neither,Neither,Neither,Agree,Agree,Often,A full time job,Not agree/dsagre,Not applicable,Not a u.s. citizen,Not applicable,1st person,-1,1991,Ballot c,0,14.8,$17500 to 19999,Not applicable,Mostly true,Somewhat true,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,0,10,0,8,By the hour,50,50,40,None or almost none of the time,Some of the time,Most of the time,Some of the time,Some of the time,Important,Important,Often,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Agree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,28,Working parttime,4,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Couriers and messengers,0,22,14,High school,Male,Black,Yes,3,2,Don't know,Not applicable,Not applicable,Not applicable,About right,Not too happy,Not applicable,Not applicable,3rd important,0,Not applicable,More or less,Average,Yes,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Hardly ever,Not applicable,Not applicable,Cant choose,Strongly agree,Strongly disagree,Neither,Strongly disagree,Strongly disagree,Disagree,Agree,Always,A full time job,Agree,Not applicable,Not applicable,Pays rent,3rd person,-1,1994,Ballot b,0,39.9,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,3,0,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Important,Neither important nor unimportant,Never,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Neither agree nor disagree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS SIDE-BY-SIDE"
2016,36,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,"Transportation, storage, and distribution managers",0,35,12,High school,Male,White,Yes,2,2,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Not too happy,Not applicable,Not applicable,2nd important,52,Full-time,More or less,Average,No,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,-1,1981,Ballot b,0,52.5,$40000 to 49999,Not applicable,Slightly true,Slightly false,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,0,2,0,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DETACHED SINGLE FAMILY HOUSE
2016,44,Working fulltime,45,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Miscellaneous social scientists and related workers,0,36,20,Graduate,Female,White,No,1,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Not too happy,Good,Exciting,3rd important,46,Part-time,More or less,Above average,Yes,Hard work,Much worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,Same and same,Disagree,Neither,Agree,Strongly agree,Agree,Neither,Agree,Often,A full time job,Strongly agree,Not applicable,Not a u.s. citizen,Not applicable,1st person,-1,1980,Ballot c,0,82.7,$30000 to 34999,Not applicable,Slightly true,Mostly true,Yes,Yes,"Yes, used internet yesterday",No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,0,6,0,6,Salary,40,60,40,None or almost none of the time,Some of the time,Some of the time,Some of the time,Some of the time,Neither important nor unimportant,Very important,Sometimes,Often,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Agree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,46,Working fulltime,45,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Computer network architects,0,28,15,High school,Male,White,Yes,1,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Too little,Very happy,Fair,Routine,3rd important,52,Full-time,Satisfied,Far above average,Yes,Luck or help,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,More hrs & money,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Sometimes,A full time job,Strongly agree,Not applicable,Not applicable,Not applicable,1st person,-1,1988,Ballot c,0,83.4,$75000 to $89999,A lot of stress,Definitely true,Definitely true,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,0,10,0,8,Salary,45,55,45,None or almost none of the time,Some of the time,All or almost all of the time,Some of the time,None or almost none of the time,Neither important nor unimportant,Neither important nor unimportant,Often,Sometimes,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Strongly disagree,No,Not applicable,Not applicable,DETACHED SINGLE FAMILY HOUSE
