resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,weight,q46x,agegroups
2,1,4968,1,36061,35620,2,NY,1,U,1,1,5,1,NY,36061,5,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,29,0,0,0,0,IN TERMS OF TECHNOLOGY,1,2,2,2,2,2,4,2,2,1,1,2,2,1,2,1,2,1,1,0,1,2,9,28,5,3,5,,0,0,,0,,3,3,3,3,3,2,0,2,2,1,1,2,2,0,0,0,2,1,1,2,1,2,2,1,0,,2,2,1,0,0,0,3,2,2,4,2,2,2,1,1,1,2,2,2,1,1,0,0,0,2,2,0,0,2,6,2,0,2,1,1,2,1,0,1,9,9,0,0,0,3,3,0,0,1,,0,1,1,6,2,1,1,1,2,0,3,2,1,1,0,2,1,0,3,0,0,0,1,2,1,0,0,0,1,100114,5,2,3,2,1,2,0.543,0,29
4,1,4968,2,31055,36540,4,NE,1,U,2,2,4,2,NE,31055,4,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,24,0,0,0,0,"we dont usually trust people very easily, and we're untrusting of religions and government, we dont trust something until we finf out for ourselves",2,4,1,1,2,2,4,1,1,1,1,2,1,1,1,2,2,1,1,0,1,2,2,33,5,5,0,,2,0,,0,,2,3,2,3,1,1,2,2,1,1,4,4,2,0,0,0,1,1,2,2,1,2,2,2,0,,2,2,1,0,0,0,1,1,1,4,2,1,1,1,1,2,2,2,2,1,1,0,0,0,1,2,1,2,2,1,2,0,1,1,1,2,2,0,2,1,1,0,0,0,1,4,2,0,1,,0,1,1,6,2,1,1,1,3,2,3,0,0,0,1,0,1,0,3,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,1.488,1,45
5,1,4968,1,18023,00000,3,IN,1,R,2,2,1,2,IN,18023,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,0,0,0,0,0,0,,2,3,1,3,1,3,4,3,2,1,1,2,2,2,1,2,2,1,1,0,1,1,0,45,6,5,0,,2,0,,0,,2,3,3,3,3,1,2,2,2,2,2,1,1,1,15,0,1,1,2,2,1,1,2,3,3,,0,0,0,0,1,0,2,0,0,0,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,0,0,2,1,1,1,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,2,4,6,0,1,1,1,3,2,3,0,0,0,1,0,0,0,3,0,0,0,2,2,2,0,0,0,1,100114,5,2,2,2,1,2,0.972,0,45
6,1,4968,1,18057,26900,3,IN,0,S,2,2,3,2,IN,18057,3,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,0,0,0,0,values a little better,2,2,2,2,2,3,4,2,2,1,1,2,2,2,2,2,1,1,2,0,1,1,0,66,2,0,0,,0,0,,0,,2,2,2,1,1,2,0,2,2,1,2,1,2,0,0,0,2,2,2,1,2,1,1,2,0,,2,3,2,2,0,0,2,1,3,3,1,4,1,1,1,1,1,2,1,2,2,0,0,0,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,2,4,10,0,1,1,1,1,0,2,0,0,0,1,0,1,0,3,0,0,0,2,2,1,0,0,0,1,100114,5,2,2,2,1,2,1.844,0,97
7,1,4968,1,51065,16820,5,VA,1,S,3,3,1,3,VA,51065,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,0,,2,1,2,2,1,3,4,2,2,1,1,1,1,2,2,2,1,1,2,0,1,1,0,52,6,5,0,,2,0,,0,,2,2,1,1,3,1,3,1,2,1,2,1,1,1,58,0,2,1,2,2,2,1,1,1,0,,2,1,1,0,0,0,1,1,3,2,1,4,2,3,1,2,1,2,2,1,1,1,1,1,2,2,0,0,2,1,1,3,2,1,1,1,2,2,0,3,3,0,0,0,4,2,0,0,9,,0,0,5,9,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,1.282,0,64
8,1,4968,1,24003,12580,5,MD,1,S,3,3,4,3,MD,24003,4,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,0,0,0,0,0,0,,2,3,1,1,2,3,4,9,2,1,1,2,2,2,2,2,2,1,2,0,1,1,0,99,5,0,0,,0,0,,0,,2,9,2,2,3,1,2,2,2,1,2,1,1,2,0,0,2,1,2,2,1,1,2,3,2,,0,0,0,0,1,0,1,0,0,0,1,2,1,1,1,2,2,2,2,1,1,0,2,1,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,1,2,10,0,1,1,1,1,0,2,0,0,0,9,0,0,0,2,0,0,0,1,1,1,0,0,0,1,100114,5,2,2,2,1,2,0.833,0,0
10,1,4968,1,42101,37980,2,PA,0,U,1,1,5,1,PA,42101,5,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,0,0,0,0,values are a little stronger than they are today,1,4,1,1,1,1,4,1,1,1,1,2,2,2,2,2,2,1,1,0,4,2,2,60,5,5,0,,2,0,,0,,2,2,2,1,3,2,0,2,2,1,2,2,2,0,0,0,2,1,1,2,2,1,1,3,2,,0,0,0,0,2,2,1,0,0,0,3,4,1,3,1,1,1,2,2,2,2,0,0,0,2,2,0,0,2,4,2,0,2,1,9,2,2,0,2,2,2,0,0,0,2,1,0,0,1,,0,2,4,2,0,1,1,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,4,0,0,0,1,100114,5,1,1,1,2,2,1.255,0,64
13,1,4968,1,37007,16740,5,NC,1,S,3,3,1,3,NC,37007,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,1,1,2,0,0,0,0,"e were raised to work, the work ethic --- today pweople get welfare, the more children yopu have the more help{ you get the welfare; young people tof-day have no workethics, none.",1,2,2,2,1,2,4,2,2,2,2,2,0,0,2,2,2,2,0,2,4,2,2,54,3,5,0,,2,0,,0,,2,2,1,1,2,0,0,0,0,2,1,3,1,2,0,0,0,0,0,2,2,1,2,1,0,,2,1,2,2,0,0,2,1,4,1,2,3,2,3,2,2,2,0,2,2,2,0,2,2,1,1,1,2,2,3,1,0,2,4,3,2,2,0,2,1,1,0,0,0,1,1,0,0,1,,0,1,5,3,0,1,2,0,3,2,4,0,0,0,1,0,0,3,0,0,0,0,1,2,1,0,0,0,1,100114,5,2,1,1,1,1,0.887,1,64
14,1,4968,2,12091,18880,5,FL,1,S,3,3,2,3,FL,12091,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,1,0,0,0,0,I THINK WE HAVE BETTER VALUES AND MORALS,2,3,1,1,1,2,4,2,2,1,1,2,2,2,2,2,2,1,2,0,1,1,0,48,5,5,0,,2,0,,0,,2,3,3,2,3,1,4,2,1,1,1,2,1,1,1,0,2,1,2,2,2,2,1,3,3,,0,0,0,0,2,1,1,0,0,0,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,0,0,2,1,2,0,1,1,1,1,2,2,0,1,1,0,0,0,1,7,5,0,1,,0,2,2,7,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,1.625,0,64
15,1,4968,2,29097,27900,4,MO,1,U,2,2,2,2,MO,29097,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,0,0,0,0,0,,1,3,2,2,1,2,4,1,3,1,1,2,1,1,1,1,1,1,9,0,1,1,0,48,6,5,0,,1,5,,0,,3,3,3,3,3,1,4,2,2,1,2,1,1,1,1,0,2,1,2,2,1,1,1,1,0,,2,1,2,1,0,0,2,2,3,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,0,0,2,4,1,0,1,1,1,2,2,0,2,1,1,0,0,0,1,2,1,0,1,,0,2,4,4,0,1,1,1,3,2,4,0,0,0,1,0,0,0,2,0,0,0,2,2,2,0,0,0,1,100114,5,2,1,1,1,1,0.706,0,64
